Intervalo,VP,SP,SC
0.0,3386,3384,4198
0.822,3387,3384,4198
1.644,3386,3384,4201
2.466,3388,3384,4197
3.288,3388,3384,4197
4.11,3388,3384,4197
4.932,3386,3384,4198
5.754,3372,3384,4197
6.576,3372,3384,4197
7.398,3385,3384,4198
8.22,3386,3384,4198
9.042,3385,3384,4197
9.864,3386,3384,4198
10.686,3386,3384,4197
11.508,3386,3384,4198
12.33,3386,3384,4198
13.152,3386,3384,4205
13.974,3386,3684,4197
14.796,3386,3684,4197
15.618,3386,3684,4197
16.44,3386,3684,4197
17.262,3367,3684,4402
18.084,3389,3684,4402
18.906,3389,3684,4402
19.728,3389,3684,4402
20.55,3398,3684,4411
21.372,3398,3684,4411
22.194,3401,3684,4421
23.016,3401,3684,4421
23.838,3401,3684,4421
24.66,3401,3684,4421
25.482,3401,3684,4421
26.304,3401,3684,4421
27.126,3415,3684,4444
27.948,3418,3684,4444
28.77,3421,3684,4448
29.592,3420,3684,4448
30.414,3425,3684,4456
31.236,3425,3684,4462
32.058,3425,3684,4462
32.88,3425,3684,4462
33.702,3425,3684,4462
34.524,3425,3684,4462
35.346,3425,3684,4462
36.168,3441,3684,4481
36.99,3445,3684,4481
37.812,3449,3684,4483
38.634,3442,3684,4486
39.456,3453,3684,4489
40.278,3456,3684,4492
41.1,3458,3684,4492
41.922,3457,3684,4497
42.744,3459,3684,4497
43.566,3459,3684,4497
44.388,3459,3684,4497
45.21,3470,3684,4506
46.032,3470,3684,4506
46.854,3476,3684,4512
47.676,3476,3684,4512
48.498,3479,3684,4518
49.32,3483,3684,4518
50.142,3483,3684,4520
50.964,3487,3684,4524
51.786,3490,3684,4526
52.608,3490,3684,4526
53.43,3493,3684,4528
54.252,3493,3684,4537
55.074,3493,3684,4537
55.896,3506,3684,4537
56.718,3501,3684,4543
57.54,3505,3684,4543
58.362,3505,3684,4543
59.184,3510,3684,4546
60.006,3504,3684,4546
60.828,3514,3684,4550
61.65,3516,3684,4551
62.472,3519,3684,4553
63.294,3519,3684,4553
64.116,3524,3684,4557
64.938,3527,3684,4557
65.76,3527,3684,4557
66.582,3527,3684,4557
67.404,3534,3684,4564
68.226,3536,3684,4564
69.048,3542,3684,4562
69.87,3540,3684,4563
70.692,3542,3684,4567
71.514,3546,3684,4568
72.336,3548,3684,4568
73.158,3548,3684,4568
73.98,3550,3684,4571
74.802,3550,3684,4571
75.624,3556,3684,4573
76.446,3559,3684,4575
77.268,3561,3684,4575
78.09,3561,3684,4575
78.912,3561,3684,4575
79.734,3561,3684,4575
80.556,3566,3684,4579
81.378,3566,3684,4579
82.2,3566,3684,4579
83.022,3566,3684,4579
83.844,3578,3684,4582
84.666,3578,3684,4582
85.488,3582,3684,4584
86.31,3582,3684,4584
87.132,3582,3684,4584
87.954,3582,3684,4584
88.776,3582,3684,4584
89.598,3590,3684,4583
90.42,3590,3684,4583
91.242,3590,3684,4583
92.064,3596,3684,4587
92.886,3596,3684,4587
93.708,3602,3684,4585
94.53,3602,3684,4590
95.352,3602,3684,4590
96.174,3604,3684,4591
96.996,3604,3684,4591
97.818,3604,3684,4591
98.64,3604,3684,4591
99.462,3604,3684,4591
100.284,3615,3684,4592
101.106,3615,3684,4592
101.928,3615,3684,4592
102.75,3619,3684,4591
103.572,3619,3684,4591
104.394,3619,3684,4591
105.216,3623,3684,4591
106.038,3623,3684,4591
106.86,3627,3684,4593
107.682,3628,3684,4593
108.504,3628,3684,4593
109.326,3628,3684,4593
110.148,3628,3684,4593
110.97,3634,3684,4594
111.792,3634,3684,4594
112.614,3634,3684,4594
113.436,3639,3684,4593
114.258,3640,3684,4593
115.08,3640,3684,4593
115.902,3642,3684,4593
116.724,3645,3684,4594
117.546,3646,3684,4593
118.368,3647,3684,4593
119.19,3647,3684,4593
120.012,3649,3684,4593
120.834,3649,3684,4593
121.656,3652,3684,4592
122.478,3652,3684,4592
123.3,3654,3684,4592
124.122,3656,3684,4592
124.944,3657,3684,4592
125.766,3657,3684,4592
126.588,3657,3684,4592
127.41,3660,3684,4591
128.232,3662,3684,4590
129.054,3663,3684,4590
129.876,3663,3684,4590
130.698,3665,3684,4589
131.52,3665,3684,4588
132.342,3666,3684,4588
133.164,3668,3684,4589
133.986,3670,3684,4588
134.808,3668,3684,4589
135.63,3671,3684,4589
136.452,3672,3684,4589
137.274,3672,3684,4587
138.096,3672,3684,4587
138.918,3672,3684,4587
139.74,3674,3684,4586
140.562,3677,3684,4586
141.384,3677,3684,4586
142.206,3678,3684,4585
143.028,3677,3684,4585
143.85,3677,3684,4585
144.672,3679,3684,4585
145.494,3679,3684,4585
146.316,3679,3684,4584
147.138,3685,3684,4584
147.96,3685,3684,4584
148.782,3681,3684,4584
149.604,3683,3684,4583
150.426,3684,3684,4582
151.248,3684,3684,4582
152.07,3683,3684,4582
152.892,3685,3684,4582
153.714,3685,3684,4582
154.536,3687,3684,4580
155.358,3687,3684,4579
156.18,3688,3684,4579
157.002,3688,3684,4579
157.824,3687,3684,4578
158.646,3690,3684,4578
159.468,3691,3684,4577
160.29,3690,3684,4577
161.112,3691,3684,4577
161.934,3691,3684,4576
162.756,3691,3684,4577
163.578,3692,3684,4576
164.4,3692,3684,4576
165.222,3694,3684,4574
166.044,3694,3684,4574
166.866,3693,3684,4574
167.688,3694,3684,4574
168.51,3694,3684,4574
169.332,3694,3684,4574
170.154,3694,3684,4574
170.976,3694,3684,4574
171.798,3697,3684,4570
172.62,3696,3684,4570
173.442,3697,3684,4569
174.264,3698,3684,4569
175.086,3698,3684,4569
175.908,3698,3684,4569
176.73,3699,3684,4568
177.552,3699,3684,4568
178.374,3700,3684,4566
179.196,3700,3684,4566
180.018,3700,3684,4566
180.84,3701,3684,4565
181.662,3700,3684,4565
182.484,3700,3684,4565
183.306,3709,3684,4565
184.128,3701,3684,4563
184.95,3701,3684,4563
185.772,3701,3684,4563
186.594,3701,3684,4563
187.416,3701,3684,4562
188.238,3701,3684,4562
189.06,3701,3684,4562
189.882,3704,3684,4560
190.704,3702,3684,4560
191.526,3702,3684,4560
192.348,3701,3684,4559
193.17,3701,3684,4559
193.992,3701,3684,4559
194.814,3701,3684,4559
195.636,3701,3684,4559
196.458,3701,3684,4559
197.28,3701,3684,4559
198.102,3705,3684,4556
198.924,3704,3684,4555
199.746,3704,3684,4555
200.568,3703,3684,4555
201.39,3703,3684,4555
202.212,3704,3684,4553
203.034,3704,3684,4553
