TIME;VP;SC
0;2002;0
2.994;2006;0
5.988;2011;0
8.982;2014;0
11.976;2014;0
14.97;2008;0
17.964;2011;0
20.958;2011;0
23.952;2010;0
26.946;2021;0
29.94;2026;0
32.934;2015;0
35.928;2033;0
38.922;2029;0
41.916;2029;0
44.91;2037;0
47.904;2034;0
50.898;2018;0
53.892;2025;0
56.886;2013;0
59.88;2020;0
62.874;2010;0
65.868;2010;0
68.862;2015;0
71.856;2019;0
74.85;2020;0
77.844;2020;0
80.838;2017;0
83.832;2008;0
86.826;2008;0
89.82;2008;0
92.814;2010;0
95.808;2006;0
98.802;2020;0
101.796;2010;0
104.79;2026;0
107.784;2028;0
110.778;2027;0
113.772;2024;0
116.766;2025;0
119.76;2026;0
122.754;2036;0
125.748;2036;0
128.742;2039;0
131.736;2041;0
134.73;2043;0
137.724;2030;0
140.718;2028;0
143.712;2033;0
146.706;2025;0
149.7;2026;0
152.694;2024;0
155.688;2027;0
158.682;2037;0
161.676;2037;0
164.67;2048;0
167.664;2049;0
170.658;2048;0
173.652;2048;0
176.646;2054;0
179.64;2054;0
182.634;2057;0
185.628;2055;0
188.622;2057;0
191.616;2054;0
194.61;2049;0
197.604;2056;0
200.598;2056;0
203.592;2052;0
206.586;2069;0
209.58;2052;0
212.574;2057;0
215.568;2058;0
218.562;2050;0
221.556;2057;0
224.55;2046;0
227.544;2058;0
230.538;2050;0
233.532;2049;0
236.526;2049;0
239.52;2039;0
242.514;2051;0
245.508;2055;0
248.502;2056;0
251.496;2052;0
254.49;2063;0
257.484;2051;0
260.478;2054;0
263.472;2058;0
266.466;2054;0
269.46;2048;0
272.454;2057;0
275.448;2058;0
278.442;2038;0
281.436;2037;0
284.43;2037;0
287.424;2041;0
290.418;2045;0
293.412;2053;0
296.406;2055;0
299.4;2057;0
302.394;2048;0
305.388;2056;0
308.382;2051;0
311.376;2038;0
314.37;2057;0
317.364;2052;0
320.358;2064;0
323.352;2054;0
326.346;2054;0
329.34;2061;0
332.334;2070;0
335.328;2073;0
338.322;2066;0
341.316;2070;0
344.31;2068;0
347.304;2058;0
350.298;2066;0
353.292;2071;0
356.286;2066;0
359.28;2073;0
362.274;2063;0
365.268;2070;0
368.262;2078;0
371.256;2079;0
374.25;2078;0
377.244;2079;0
380.238;2064;0
383.232;2060;0
386.226;2058;0
389.22;2060;0
392.214;2061;0
395.208;2062;0
398.202;2063;0
401.196;2062;0
404.19;2068;0
407.184;2080;0
410.178;2076;0
413.172;2086;0
416.166;2084;0
419.16;2081;0
422.154;2082;0
425.148;2078;0
428.142;2080;0
431.136;2073;0
434.13;2078;0
437.124;2065;0
440.118;2070;0
443.112;2070;0
446.106;2061;0
449.1;2070;0
452.094;2067;0
455.088;2059;0
458.082;2066;0
461.076;2061;0
464.07;2061;0
467.064;2066;0
470.058;2069;0
473.052;2073;0
476.046;2066;0
479.04;2071;0
482.034;2062;0
485.028;2068;0
488.022;2070;0
491.016;2087;0
494.01;2087;0
497.004;2076;1000
499.998;2081;1000
502.992;2075;1000
505.986;2078;1000
508.98;2082;1000
511.974;2089;1000
514.968;2086;1000
517.962;2080;1000
520.956;2093;1000
523.95;2091;1000
526.944;2091;1000
529.938;2095;1000
532.932;2099;1000
535.926;2093;1000
538.92;2102;1000
541.914;2115;1000
544.908;2117;1000
547.902;2108;1000
550.896;2108;1000
553.89;2112;1000
556.884;2113;1000
559.878;2119;1000
562.872;2125;1000
565.866;2125;1000
568.86;2143;1000
571.854;2150;1000
574.848;2167;1000
577.842;2166;1000
580.836;2182;1000
583.83;2185;1000
586.824;2195;1000
589.818;2193;1000
592.812;2190;1000
595.806;2203;1000
598.8;2208;1000
601.794;2217;1000
604.788;2210;1000
607.782;2225;1000
610.776;2215;1000
613.77;2232;1000
616.764;2233;1000
619.758;2237;1000
622.752;2244;1000
625.746;2256;1000
628.74;2254;1000
631.734;2269;1000
634.728;2270;1000
637.722;2278;1000
640.716;2285;1000
643.71;2304;1000
646.704;2300;1000
649.698;2305;1000
652.692;2318;1000
655.686;2338;1000
658.68;2343;1000
661.674;2337;1000
664.668;2341;1000
667.662;2343;1000
670.656;2359;1000
673.65;2364;1000
676.644;2354;1000
679.638;2367;1000
682.632;2383;1000
685.626;2390;1000
688.62;2395;1000
691.614;2391;1000
694.608;2415;1000
697.602;2408;1000
700.596;2408;1000
703.59;2427;1000
706.584;2420;1000
709.578;2432;1000
712.572;2436;1000
715.566;2452;1000
718.56;2453;1000
721.554;2472;1000
724.548;2476;1000
727.542;2477;1000
730.536;2477;1000
733.53;2483;1000
736.524;2474;1000
739.518;2488;1000
742.512;2482;1000
745.506;2489;1000
748.5;2487;1000
751.494;2481;1000
754.488;2491;1000
757.482;2503;1000
760.476;0;1000
763.47;2507;1000
766.464;2530;1000
769.458;2526;1000
772.452;2543;1000
775.446;2553;1000
778.44;2538;1000
781.434;2555;1000
784.428;2547;1000
787.422;2559;1000
790.416;2555;1000
793.41;2552;1000
796.404;2558;1000
799.398;2562;1000
802.392;2564;1000
805.386;2573;1000
808.38;2580;1000
811.374;2578;1000
814.368;2583;1000
817.362;2577;1000
820.356;2582;1000
823.35;2581;1000
826.344;2581;1000
829.338;2580;1000
832.332;2584;1000
835.326;2580;1000
838.32;2578;1000
841.314;2580;1000
844.308;2595;1000
847.302;2596;1000
850.296;2606;1000
853.29;2607;1000
856.284;2603;1000
859.278;2609;1000
862.272;2617;1000
865.266;2612;1000
