Nome do data point,Tempo,Valor,Processado,Comentario
uno - SP,2024-09-09 19:10:00,47.269376,47.269376,
uno - SP,2024-09-09 19:10:00,50.199296,50.199296,
uno - SP,2024-09-09 19:10:00,46.097408,46.097408,
uno - SP,2024-09-09 19:10:00,50.492288,50.492288,
uno - SP,2024-09-09 19:10:01,46.292736,46.292736,
uno - SP,2024-09-09 19:10:01,49.124992,49.124992,
uno - SP,2024-09-09 19:10:01,46.292736,46.292736,
uno - SP,2024-09-09 19:10:01,46.683392,46.683392,
uno - SP,2024-09-09 19:10:01,45.90208,45.90208,
uno - SP,2024-09-09 19:10:02,46.683392,46.683392,
uno - SP,2024-09-09 19:10:02,46.292736,46.292736,
uno - SP,2024-09-09 19:10:02,49.027328,49.027328,
uno - SP,2024-09-09 19:10:03,46.097408,46.097408,
uno - SP,2024-09-09 19:10:03,46.292736,46.292736,
uno - SP,2024-09-09 19:10:03,46.097408,46.097408,
uno - SP,2024-09-09 19:10:04,46.292736,46.292736,
uno - SP,2024-09-09 19:10:04,50.199296,50.199296,
uno - SP,2024-09-09 19:10:04,50.29696,50.29696,
uno - SP,2024-09-09 19:10:04,49.80864,49.80864,
uno - SP,2024-09-09 19:10:04,45.90208,45.90208,
uno - SP,2024-09-09 19:10:05,50.394624,50.394624,
uno - SP,2024-09-09 19:10:05,49.124992,49.124992,
uno - SP,2024-09-09 19:10:05,46.781056,46.781056,
uno - SP,2024-09-09 19:10:05,45.999744,45.999744,
uno - SP,2024-09-09 19:10:06,51.566592,51.566592,
uno - SP,2024-09-09 19:10:06,49.906304,49.906304,
uno - SP,2024-09-09 19:10:06,49.710976,49.710976,
uno - SP,2024-09-09 19:10:06,46.097408,46.097408,
uno - SP,2024-09-09 19:10:07,46.195072,46.195072,
uno - SP,2024-09-09 19:10:07,49.32032,49.32032,
uno - SP,2024-09-09 19:10:07,46.195072,46.195072,
uno - SP,2024-09-09 19:10:07,46.097408,46.097408,
uno - SP,2024-09-09 19:10:08,49.613312,49.613312,
uno - SP,2024-09-09 19:10:08,46.097408,46.097408,
uno - SP,2024-09-09 19:10:08,45.90208,45.90208,
uno - SP,2024-09-09 19:10:09,49.32032,49.32032,
uno - SP,2024-09-09 19:10:09,49.906304,49.906304,
uno - SP,2024-09-09 19:10:09,45.706752,45.706752,
uno - SP,2024-09-09 19:10:10,50.199296,50.199296,
uno - SP,2024-09-09 19:10:10,49.906304,49.906304,
uno - SP,2024-09-09 19:10:10,46.097408,46.097408,
uno - SP,2024-09-09 19:10:10,49.613312,49.613312,
uno - SP,2024-09-09 19:10:10,46.097408,46.097408,
uno - SP,2024-09-09 19:10:11,46.781056,46.781056,
uno - SP,2024-09-09 19:10:11,45.706752,45.706752,
uno - SP,2024-09-09 19:10:11,46.781056,46.781056,
uno - SP,2024-09-09 19:10:11,45.999744,45.999744,
uno - SP,2024-09-09 19:10:12,49.613312,49.613312,
uno - SP,2024-09-09 19:10:12,45.90208,45.90208,
uno - SP,2024-09-09 19:10:12,48.929664,48.929664,
uno - SP,2024-09-09 19:10:13,45.999744,45.999744,
uno - SP,2024-09-09 19:10:13,45.511424,45.511424,
uno - SP,2024-09-09 19:10:13,46.097408,46.097408,
uno - SP,2024-09-09 19:10:13,49.710976,49.710976,
uno - SP,2024-09-09 19:10:13,45.804416,45.804416,
uno - SP,2024-09-09 19:10:14,45.999744,45.999744,
uno - SP,2024-09-09 19:10:14,45.706752,45.706752,
uno - SP,2024-09-09 19:10:14,45.804416,45.804416,
uno - SP,2024-09-09 19:10:14,48.929664,48.929664,
uno - SP,2024-09-09 19:10:14,46.195072,46.195072,
uno - SP,2024-09-09 19:10:15,48.832,48.832,
uno - SP,2024-09-09 19:10:15,49.124992,49.124992,
uno - SP,2024-09-09 19:10:15,45.999744,45.999744,
uno - SP,2024-09-09 19:10:15,46.3904,46.3904,
uno - SP,2024-09-09 19:10:16,49.710976,49.710976,
uno - SP,2024-09-09 19:10:16,45.999744,45.999744,
uno - SP,2024-09-09 19:10:16,50.394624,50.394624,
uno - SP,2024-09-09 19:10:16,49.32032,49.32032,
uno - SP,2024-09-09 19:10:16,46.683392,46.683392,
uno - SP,2024-09-09 19:10:17,49.906304,49.906304,
uno - SP,2024-09-09 19:10:17,45.90208,45.90208,
uno - SP,2024-09-09 19:10:17,46.097408,46.097408,
uno - SP,2024-09-09 19:10:17,45.804416,45.804416,
uno - SP,2024-09-09 19:10:17,49.906304,49.906304,
uno - SP,2024-09-09 19:10:18,45.90208,45.90208,
uno - SP,2024-09-09 19:10:18,45.706752,45.706752,
