$Date;$Time;VP;SP;SC
09/09/24;17:04:13.000;3750;3752;3142
09/09/24;17:04:13.342;3750;3752;3142
09/09/24;17:04:13.684;3750;3752;3142
09/09/24;17:04:14.026;3750;3752;3142
09/09/24;17:04:14.368;3750;3752;3142
09/09/24;17:04:14.710;3750;3752;3143
09/09/24;17:04:15.052;3750;3752;3143
09/09/24;17:04:15.394;3750;3752;3143
09/09/24;17:04:15.736;3750;3752;3143
09/09/24;17:04:16.078;3750;3752;3143
09/09/24;17:04:16.420;3750;3752;3144
09/09/24;17:04:16.762;3750;3752;3144
09/09/24;17:04:17.104;3750;3752;3144
09/09/24;17:04:17.446;3750;3752;3144
09/09/24;17:04:17.788;3749;3752;3157
09/09/24;17:04:18.130;3749;3752;3157
09/09/24;17:04:18.472;3749;3752;3157
09/09/24;17:04:18.814;3749;3752;3157
09/09/24;17:04:19.156;3750;3752;3146
09/09/24;17:04:19.498;3750;3752;3146
09/09/24;17:04:19.840;3750;3752;3146
09/09/24;17:04:20.182;3750;3752;3146
09/09/24;17:04:20.524;3750;3752;3146
09/09/24;17:04:20.866;3750;3752;3146
09/09/24;17:04:21.208;3750;3752;3147
09/09/24;17:04:21.550;3750;3752;3147
09/09/24;17:04:21.892;3750;3752;3147
09/09/24;17:04:22.234;3750;3752;3147
09/09/24;17:04:22.576;3750;3752;3147
09/09/24;17:04:22.918;3750;3752;3148
09/09/24;17:04:23.260;3750;3752;3148
09/09/24;17:04:23.602;3736;3752;3314
09/09/24;17:04:23.944;3722;3752;3470
09/09/24;17:04:24.286;3722;3752;3470
09/09/24;17:04:24.628;3709;3752;3629
09/09/24;17:04:24.970;3709;3752;3629
09/09/24;17:04:25.312;3709;3752;3629
09/09/24;17:04:25.654;3709;3752;3629
09/09/24;17:04:25.996;3709;3752;3629
09/09/24;17:04:26.338;3685;3752;3935
09/09/24;17:04:26.680;3681;3752;4005
09/09/24;17:04:27.022;3681;3752;4005
09/09/24;17:04:27.364;3677;3752;4062
09/09/24;17:04:27.706;3677;3752;4062
09/09/24;17:04:28.048;3673;3752;4109
09/09/24;17:04:28.390;3673;3752;4109
09/09/24;17:04:28.732;3671;3752;4157
09/09/24;17:04:29.074;3667;3752;4205
09/09/24;17:04:29.416;3667;3752;4205
09/09/24;17:04:29.758;3664;3752;4254
09/09/24;17:04:30.100;3664;3752;4254
09/09/24;17:04:30.442;3663;3752;4291
09/09/24;17:04:30.784;3663;3752;4291
09/09/24;17:04:31.126;3663;3752;4291
09/09/24;17:04:31.468;3663;3752;4291
09/09/24;17:04:31.810;3663;3752;4291
09/09/24;17:04:32.152;3659;3752;4379
09/09/24;17:04:32.494;3659;3752;4379
09/09/24;17:04:32.836;3659;3752;4379
09/09/24;17:04:33.178;3659;3752;4379
09/09/24;17:04:33.520;3659;3752;4420
09/09/24;17:04:33.862;3659;3752;4420
09/09/24;17:04:34.204;3661;3752;4408
09/09/24;17:04:34.546;3661;3752;4408
09/09/24;17:04:34.888;3662;3752;4422
09/09/24;17:04:35.230;3662;3752;4422
09/09/24;17:04:35.572;3659;3752;4460
09/09/24;17:04:35.914;3660;3752;4463
09/09/24;17:04:36.256;3660;3752;4463
09/09/24;17:04:36.598;3658;3752;4504
09/09/24;17:04:36.940;3658;3752;4504
09/09/24;17:04:37.282;3656;3752;4531
09/09/24;17:04:37.624;3656;3752;4531
09/09/24;17:04:37.966;3656;3752;4531
09/09/24;17:04:38.308;3656;3752;4531
09/09/24;17:04:38.650;3656;3752;4531
09/09/24;17:04:38.992;3656;3752;4531
09/09/24;17:04:39.334;3656;3752;4531
09/09/24;17:04:39.676;3656;3752;4531
09/09/24;17:04:40.018;3663;3752;4534
09/09/24;17:04:40.360;3664;3752;4525
09/09/24;17:04:40.702;3664;3752;4525
09/09/24;17:04:41.044;3664;3752;4525
09/09/24;17:04:41.386;3664;3752;4525
09/09/24;17:04:41.728;3664;3752;4525
09/09/24;17:04:42.070;3664;3752;4525
09/09/24;17:04:42.412;3664;3752;4525
09/09/24;17:04:42.754;3664;3752;4525
09/09/24;17:04:43.096;3667;3752;4550
09/09/24;17:04:43.438;3667;3752;4550
09/09/24;17:04:43.780;3667;3752;4550
09/09/24;17:04:44.122;3667;3752;4550
09/09/24;17:04:44.464;3667;3752;4550
09/09/24;17:04:44.806;3667;3752;4550
09/09/24;17:04:45.148;3667;3752;4550
09/09/24;17:04:45.490;3667;3752;4550
09/09/24;17:04:45.832;3672;3752;4550
09/09/24;17:04:46.174;3672;3752;4550
09/09/24;17:04:46.516;3672;3752;4550
09/09/24;17:04:46.858;3672;3752;4550
09/09/24;17:04:47.200;3672;3752;4550
09/09/24;17:04:47.542;3672;3752;4550
09/09/24;17:04:47.884;3672;3752;4550
09/09/24;17:04:48.226;3676;3752;4557
09/09/24;17:04:48.568;3676;3752;4557
09/09/24;17:04:48.910;3676;3752;4557
09/09/24;17:04:49.252;3676;3752;4557
09/09/24;17:04:49.594;3676;3752;4557
09/09/24;17:04:49.936;3679;3752;4565
09/09/24;17:04:50.278;3679;3752;4565
09/09/24;17:04:50.620;3679;3752;4565
09/09/24;17:04:50.962;3679;3752;4565
09/09/24;17:04:51.304;3681;3752;4564
09/09/24;17:04:51.646;3681;3752;4564
09/09/24;17:04:51.988;3681;3752;4564
09/09/24;17:04:52.330;3681;3752;4564
09/09/24;17:04:52.672;3681;3752;4564
09/09/24;17:04:53.014;3681;3752;4564
09/09/24;17:04:53.356;3681;3752;4564
09/09/24;17:04:53.698;3687;3752;4532
09/09/24;17:04:54.040;3687;3752;4532
09/09/24;17:04:54.382;3673;3752;4601
09/09/24;17:04:54.724;3673;3752;4601
09/09/24;17:04:55.066;3690;3752;4530
09/09/24;17:04:55.408;3690;3752;4530
09/09/24;17:04:55.750;3690;3752;4530
09/09/24;17:04:56.092;3690;3752;4530
09/09/24;17:04:56.434;3694;3752;4510
09/09/24;17:04:56.776;3694;3752;4510
09/09/24;17:04:57.118;3673;3752;4685
09/09/24;17:04:57.460;3673;3752;4685
09/09/24;17:04:57.802;3693;3752;4592
09/09/24;17:04:58.144;3693;3752;4592
09/09/24;17:04:58.486;3697;3752;4507
09/09/24;17:04:58.828;3697;3752;4507
09/09/24;17:04:59.170;3695;3752;4529
09/09/24;17:04:59.512;3695;3752;4529
09/09/24;17:04:59.854;3695;3752;4529
09/09/24;17:05:00.196;3695;3752;4529
09/09/24;17:05:00.538;3695;3752;4529
09/09/24;17:05:00.880;3695;3752;4529
09/09/24;17:05:01.222;3695;3752;4529
09/09/24;17:05:01.564;3695;3752;4529
09/09/24;17:05:01.906;3695;3752;4529
09/09/24;17:05:02.248;3695;3752;4529
09/09/24;17:05:02.590;3695;3752;4529
09/09/24;17:05:02.932;3702;3752;4503
09/09/24;17:05:03.274;3702;3752;4503
09/09/24;17:05:03.616;3693;3752;4511
09/09/24;17:05:03.958;3693;3752;4511
09/09/24;17:05:04.300;3696;3752;4508
09/09/24;17:05:04.642;3690;3752;4552
09/09/24;17:05:04.984;3690;3752;4552
09/09/24;17:05:05.326;3704;3752;4514
09/09/24;17:05:05.668;3704;3752;4514
09/09/24;17:05:06.010;3704;3752;4514
09/09/24;17:05:06.352;3704;3752;4514
09/09/24;17:05:06.694;3704;3752;4514
09/09/24;17:05:07.036;3706;3752;4510
09/09/24;17:05:07.378;3706;3752;4517
09/09/24;17:05:07.720;3706;3752;4517
09/09/24;17:05:08.062;3706;3752;4517
09/09/24;17:05:08.404;3706;3752;4517
09/09/24;17:05:08.746;3706;3752;4517
09/09/24;17:05:09.088;3706;3752;4517
09/09/24;17:05:09.430;3706;3752;4517
09/09/24;17:05:09.772;3706;3752;4517
09/09/24;17:05:10.114;3707;3752;4537
09/09/24;17:05:10.456;3707;3752;4537
09/09/24;17:05:10.798;3707;3752;4544
09/09/24;17:05:11.140;3707;3752;4544
09/09/24;17:05:11.482;3707;3752;4544
09/09/24;17:05:11.824;3707;3752;4544
09/09/24;17:05:12.166;3707;3752;4544
09/09/24;17:05:12.508;3708;3752;4553
09/09/24;17:05:12.850;3711;3752;4525
09/09/24;17:05:13.192;3711;3752;4525
09/09/24;17:05:13.534;3700;3752;4684
09/09/24;17:05:13.876;3700;3752;4684
09/09/24;17:05:14.218;3700;3752;4684
09/09/24;17:05:14.560;3700;3752;4684
09/09/24;17:05:14.902;3700;3752;4684
09/09/24;17:05:15.244;3700;3752;4684
09/09/24;17:05:15.586;3700;3752;4684
09/09/24;17:05:15.928;3700;3752;4684
09/09/24;17:05:16.270;3714;3752;4527
09/09/24;17:05:16.612;3714;3752;4527
09/09/24;17:05:16.954;3714;3752;4527
09/09/24;17:05:17.296;3714;3752;4527
09/09/24;17:05:17.638;3714;3752;4527
09/09/24;17:05:17.980;3703;3752;4685
09/09/24;17:05:18.322;3716;3752;4537
09/09/24;17:05:18.664;3716;3752;4537
09/09/24;17:05:19.006;3716;3752;4537
09/09/24;17:05:19.348;3716;3752;4537
09/09/24;17:05:19.690;3716;3752;4537
09/09/24;17:05:20.032;3716;3752;4537
09/09/24;17:05:20.374;3716;3752;4537
09/09/24;17:05:20.716;3716;3752;4537
09/09/24;17:05:21.058;3719;3752;4526
09/09/24;17:05:21.400;3719;3752;4526
09/09/24;17:05:21.742;3718;3752;4520
09/09/24;17:05:22.084;3718;3752;4520
09/09/24;17:05:22.426;3718;3752;4520
09/09/24;17:05:22.768;3718;3752;4520
09/09/24;17:05:23.110;3718;3752;4520
09/09/24;17:05:23.452;3718;3752;4520
09/09/24;17:05:23.794;3718;3752;4520
09/09/24;17:05:24.136;3718;3752;4555
09/09/24;17:05:24.478;3718;3752;4555
09/09/24;17:05:24.820;3719;3752;4560
09/09/24;17:05:25.162;3719;3752;4560
09/09/24;17:05:25.504;3719;3752;4553
09/09/24;17:05:25.846;3719;3752;4553
09/09/24;17:05:26.188;3720;3752;4547
09/09/24;17:05:26.530;3721;3752;4540
09/09/24;17:05:26.872;3721;3752;4540
09/09/24;17:05:27.214;3712;3752;4652
09/09/24;17:05:27.556;3712;3752;4652
09/09/24;17:05:27.898;3721;3752;4562
09/09/24;17:05:28.240;3721;3752;4562
09/09/24;17:05:28.582;3722;3752;4531
09/09/24;17:05:28.924;3721;3752;4560
09/09/24;17:05:29.266;3721;3752;4560
09/09/24;17:05:29.608;3721;3752;4564
09/09/24;17:05:29.950;3721;3752;4564
09/09/24;17:05:30.292;3722;3752;4557
09/09/24;17:05:30.634;3722;3752;4557
09/09/24;17:05:30.976;3723;3752;4550
09/09/24;17:05:31.318;3722;3752;4578
09/09/24;17:05:31.660;3722;3752;4578
09/09/24;17:05:32.002;3722;3752;4578
09/09/24;17:05:32.344;3722;3752;4578
09/09/24;17:05:32.686;3722;3752;4578
09/09/24;17:05:33.028;3724;3752;4556
09/09/24;17:05:33.370;3724;3752;4556
09/09/24;17:05:33.712;3704;3752;4713
09/09/24;17:05:34.054;3704;3752;4713
09/09/24;17:05:34.396;3725;3752;4554
09/09/24;17:05:34.738;3726;3752;4557
09/09/24;17:05:35.080;3726;3752;4557
09/09/24;17:05:35.422;3726;3752;4557
09/09/24;17:05:35.764;3726;3752;4557
09/09/24;17:05:36.106;3726;3752;4557
09/09/24;17:05:36.448;3723;3752;4653
09/09/24;17:05:36.790;3723;3752;4653
09/09/24;17:05:37.132;3727;3752;4552
09/09/24;17:05:37.474;3727;3752;4552
09/09/24;17:05:37.816;3727;3752;4552
09/09/24;17:05:38.158;3727;3752;4552
09/09/24;17:05:38.500;3727;3752;4552
09/09/24;17:05:38.842;3728;3752;4552
09/09/24;17:05:39.184;3728;3752;4552
09/09/24;17:05:39.526;3728;3752;4552
09/09/24;17:05:39.868;3728;3752;4552
09/09/24;17:05:40.210;3728;3752;4552
09/09/24;17:05:40.552;3728;3752;4552
09/09/24;17:05:40.894;3728;3752;4552
09/09/24;17:05:41.236;3728;3752;4552
09/09/24;17:05:41.578;3728;3752;4552
09/09/24;17:05:41.920;3731;3752;4548
09/09/24;17:05:42.262;3731;3752;4548
09/09/24;17:05:42.604;3731;3752;4548
09/09/24;17:05:42.946;3731;3752;4548
09/09/24;17:05:43.288;3731;3752;4548
09/09/24;17:05:43.630;3731;3752;4548
09/09/24;17:05:43.972;3731;3752;4548
09/09/24;17:05:44.314;3731;3752;4548
09/09/24;17:05:44.656;3731;3752;4528
09/09/24;17:05:44.998;3731;3752;4528
09/09/24;17:05:45.340;3716;3752;4767
09/09/24;17:05:45.682;3716;3752;4767
09/09/24;17:05:46.024;3716;3752;4767
09/09/24;17:05:46.366;3716;3752;4767
09/09/24;17:05:46.708;3716;3752;4767
09/09/24;17:05:47.050;3732;3752;4554
09/09/24;17:05:47.392;3732;3752;4554
09/09/24;17:05:47.734;3725;3752;4745
09/09/24;17:05:48.076;3725;3752;4745
09/09/24;17:05:48.418;3725;3752;4745
09/09/24;17:05:48.760;3725;3752;4745
09/09/24;17:05:49.102;3733;3752;4615
09/09/24;17:05:49.444;3733;3752;4615
09/09/24;17:05:49.786;3732;3752;4572
09/09/24;17:05:50.128;3732;3752;4572
09/09/24;17:05:50.470;3736;3752;4539
09/09/24;17:05:50.812;3736;3752;4539
09/09/24;17:05:51.154;3733;3752;4590
09/09/24;17:05:51.496;3733;3752;4590
09/09/24;17:05:51.838;3733;3752;4590
09/09/24;17:05:52.180;3733;3752;4590
09/09/24;17:05:52.522;3733;3752;4590
09/09/24;17:05:52.864;3737;3752;4540
09/09/24;17:05:53.206;3736;3752;4531
09/09/24;17:05:53.548;3736;3752;4531
09/09/24;17:05:53.890;3726;3752;4521
09/09/24;17:05:54.232;3726;3752;4521
09/09/24;17:05:54.574;3738;3752;4524
09/09/24;17:05:54.916;3738;3752;4524
09/09/24;17:05:55.258;3735;3752;4574
09/09/24;17:05:55.600;3735;3752;4574
09/09/24;17:05:55.942;3738;3752;4541
09/09/24;17:05:56.284;3738;3752;4541
09/09/24;17:05:56.626;3737;3752;4531
09/09/24;17:05:56.968;3737;3752;4531
09/09/24;17:05:57.310;3737;3752;4531
09/09/24;17:05:57.652;3737;3752;4531
09/09/24;17:05:57.994;3729;3752;4657
09/09/24;17:05:58.336;3729;3752;4657
09/09/24;17:05:58.678;3738;3752;4553
09/09/24;17:05:59.020;3738;3752;4553
09/09/24;17:05:59.362;3705;3752;4922
09/09/24;17:05:59.704;3705;3752;4922
09/09/24;17:06:00.046;3705;3752;4922
09/09/24;17:06:00.388;3705;3752;4922
09/09/24;17:06:00.730;3741;3752;4518
09/09/24;17:06:01.072;3741;3752;4518
09/09/24;17:06:01.414;3739;3752;4568
09/09/24;17:06:01.756;3739;3752;4568
09/09/24;17:06:02.098;3739;3752;4568
09/09/24;17:06:02.440;3739;3752;4568
09/09/24;17:06:02.782;3739;3752;4568
09/09/24;17:06:03.124;3742;3752;4515
09/09/24;17:06:03.466;3742;3752;4515
09/09/24;17:06:03.808;3742;3752;4515
09/09/24;17:06:04.150;3742;3752;4515
09/09/24;17:06:04.492;3742;3752;4515
09/09/24;17:06:04.834;3742;3752;4515
09/09/24;17:06:05.176;3742;3752;4515
09/09/24;17:06:05.518;3742;3752;4510
09/09/24;17:06:05.860;3742;3752;4510
09/09/24;17:06:06.202;3742;3752;4510
09/09/24;17:06:06.544;3742;3752;4510
09/09/24;17:06:06.886;3742;3752;4510
09/09/24;17:06:07.228;3742;3752;4510
09/09/24;17:06:07.570;3742;3752;4510
09/09/24;17:06:07.912;3742;3752;4510
09/09/24;17:06:08.254;3742;3752;4510
09/09/24;17:06:08.596;3742;3752;4510
09/09/24;17:06:08.938;3742;3752;4510
09/09/24;17:06:09.280;3744;3752;4510
09/09/24;17:06:09.622;3744;3752;4510
09/09/24;17:06:09.964;3744;3752;4510
09/09/24;17:06:10.306;3744;3752;4510
09/09/24;17:06:10.648;3744;3752;4510
09/09/24;17:06:10.990;3745;3752;4503
09/09/24;17:06:11.332;3745;3752;4503
09/09/24;17:06:11.674;3744;3752;4504
09/09/24;17:06:12.016;3744;3752;4504
09/09/24;17:06:12.358;3745;3752;4505
09/09/24;17:06:12.700;3745;3752;4505
09/09/24;17:06:13.042;3745;3752;4505
09/09/24;17:06:13.384;3745;3752;4505
09/09/24;17:06:13.726;3743;3752;4520
09/09/24;17:06:14.068;3743;3752;4520
09/09/24;17:06:14.410;3743;3752;4521
09/09/24;17:06:14.752;3743;3752;4521
09/09/24;17:06:15.094;3743;3752;4546
09/09/24;17:06:15.436;3743;3752;4546
09/09/24;17:06:15.778;3743;3752;4546
09/09/24;17:06:16.120;3743;3752;4546
09/09/24;17:06:16.462;3745;3752;4504
09/09/24;17:06:16.804;3745;3752;4504
09/09/24;17:06:17.146;3746;3752;4505
09/09/24;17:06:17.488;3746;3752;4505
09/09/24;17:06:17.830;3746;3752;4505
09/09/24;17:06:18.172;3746;3752;4505
09/09/24;17:06:18.514;3746;3752;4505
09/09/24;17:06:18.856;3732;3752;4591
09/09/24;17:06:19.198;3732;3752;4591
09/09/24;17:06:19.540;3746;3752;4523
09/09/24;17:06:19.882;3746;3752;4523
09/09/24;17:06:20.224;3746;3752;4523
09/09/24;17:06:20.566;3746;3752;4523
09/09/24;17:06:20.908;3746;3752;4523
09/09/24;17:06:21.250;3744;3752;4549
09/09/24;17:06:21.592;3744;3752;4549
09/09/24;17:06:21.934;3744;3752;4549
09/09/24;17:06:22.276;3744;3752;4549
09/09/24;17:06:22.618;3744;3752;4549
09/09/24;17:06:22.960;3746;3752;4517
09/09/24;17:06:23.302;3746;3752;4517
09/09/24;17:06:23.644;3746;3752;4517
09/09/24;17:06:23.986;3746;3752;4517
09/09/24;17:06:24.328;3745;3752;4531
09/09/24;17:06:24.670;3745;3752;4531
09/09/24;17:06:25.012;3745;3752;4531
09/09/24;17:06:25.354;3745;3752;4531
09/09/24;17:06:25.696;3745;3752;4531
09/09/24;17:06:26.038;3745;3752;4531
09/09/24;17:06:26.380;3745;3752;4531
09/09/24;17:06:26.722;3745;3752;4531
09/09/24;17:06:27.064;3747;3752;4525
09/09/24;17:06:27.406;3747;3752;4525
