$Date;$Time;VP;SP;SC
09/09/24;17:00:45.000;3452;3452;2999
09/09/24;17:00:45.412;3452;3452;2999
09/09/24;17:00:45.824;3452;3452;2999
09/09/24;17:00:46.236;3452;3452;2999
09/09/24;17:00:46.648;3452;3452;2999
09/09/24;17:00:47.060;3452;3452;2987
09/09/24;17:00:47.472;3452;3452;2987
09/09/24;17:00:47.884;3452;3452;2987
09/09/24;17:00:48.296;3452;3452;2987
09/09/24;17:00:48.708;3452;3452;2987
09/09/24;17:00:49.120;3452;3452;2987
09/09/24;17:00:49.532;3453;3452;2974
09/09/24;17:00:49.944;3453;3452;2974
09/09/24;17:00:50.356;3453;3452;2974
09/09/24;17:00:50.768;3453;3452;2974
09/09/24;17:00:51.180;3452;3452;2997
09/09/24;17:00:51.592;3455;3452;2903
09/09/24;17:00:52.004;3455;3752;2903
09/09/24;17:00:52.416;3455;3752;2903
09/09/24;17:00:52.828;3455;3752;2903
09/09/24;17:00:53.240;3455;3752;2903
09/09/24;17:00:53.652;3455;3752;2903
09/09/24;17:00:54.064;3455;3752;2903
09/09/24;17:00:54.476;3455;3752;2903
09/09/24;17:00:54.888;3455;3752;2903
09/09/24;17:00:55.300;3455;3752;2903
09/09/24;17:00:55.712;3514;3452;3430
09/09/24;17:00:56.124;3526;3752;3397
09/09/24;17:00:56.536;3526;3752;3397
09/09/24;17:00:56.948;3526;3752;3397
09/09/24;17:00:57.360;3526;3752;3397
09/09/24;17:00:57.772;3526;3752;3397
09/09/24;17:00:58.184;3526;3752;3397
09/09/24;17:00:58.596;3526;3752;3397
09/09/24;17:00:59.008;3563;3752;3099
09/09/24;17:00:59.420;3566;3752;3086
09/09/24;17:00:59.832;3566;3752;3086
09/09/24;17:01:00.244;3569;3752;3079
09/09/24;17:01:00.656;3569;3752;3079
09/09/24;17:01:01.068;3569;3752;3079
09/09/24;17:01:01.480;3569;3752;3079
09/09/24;17:01:01.892;3575;3752;3096
09/09/24;17:01:02.304;3576;3752;3100
09/09/24;17:01:02.716;3576;3752;3100
09/09/24;17:01:03.128;3576;3752;3100
09/09/24;17:01:03.540;3576;3752;3100
09/09/24;17:01:03.952;3576;3752;3100
09/09/24;17:01:04.364;3576;3752;3100
09/09/24;17:01:04.776;3576;3752;3100
09/09/24;17:01:05.188;3576;3752;3100
09/09/24;17:01:05.600;3576;3752;3100
09/09/24;17:01:06.012;3594;3752;3052
09/09/24;17:01:06.424;3597;3752;3041
09/09/24;17:01:06.836;3597;3752;3041
09/09/24;17:01:07.248;3597;3752;3041
09/09/24;17:01:07.660;3597;3752;3041
09/09/24;17:01:08.072;3597;3752;3041
09/09/24;17:01:08.484;3597;3752;3041
09/09/24;17:01:08.896;3597;3752;3041
